id,in_reply_to_status_id,created_at,text
544322461329010689,544321620643692544,Mon Dec 15 02:46:02 +0000 2014,@bloghommelibre @AP Un groupe rattaché au djihad certainement pour le moment mais peut être pas directement de l'ISIS !
544339655093923840,544338972768759809,Mon Dec 15 03:54:21 +0000 2014,"@Alain_Verse @bloghommelibre @AP Non ce n'est pas le drapeau de l'EI ! Si vraiment il y a 40 à 50 otages, nous doutons qu'une seule personne"
544323804399665152,544321686754316288,Mon Dec 15 02:51:22 +0000 2014,"@zclove2bme I see, wasn't sure if that was what you meant. They could have been waiting for the briefing to end. @AP"
544320067190935553,544319832486064128,Mon Dec 15 02:36:31 +0000 2014,"RT @AP: Hostage situation erupts in Sydney cafe, Australian prime minister says it may be ""politically motivated"" http://t.co/Gh8BB9NEwM"
544321596547424257,544319832486064128,Mon Dec 15 02:42:36 +0000 2014,@AP u r just now reporting on this?  Wow
544320016582459393,544319832486064128,Mon Dec 15 02:36:19 +0000 2014,"@ap Little LATE on the ball, aren't you?"
544338972768759809,544321620643692544,Mon Dec 15 03:51:39 +0000 2014,"@bloghommelibre C'est pas le drapeau d'ISIS, à la limite le shahada (qui est sur le drapeau de l'arabie saoudite aussi) @AP @eliot_meredith"
544321686754316288,544321159018590208,Mon Dec 15 02:42:57 +0000 2014,@asstnews @ap Sorry.I have been watching the coverage for a while now. Just thought AP was quicker than that.  Tweet was posted 5 min ago.
544320809276571650,544319832486064128,Mon Dec 15 02:39:28 +0000 2014,@AP Australian Govt language specialists defined these words as all-encompassing meaning any action perpetrated against Australian citizens
544320124069879809,544319832486064128,Mon Dec 15 02:36:45 +0000 2014,"@AP ""may be"" really? (forehead smack)"
544321620643692544,544319832486064128,Mon Dec 15 02:42:42 +0000 2014,@AP @eliot_meredith bah voyons?!!! Juste le drapeau noir de l'état islamique...maybe dit il?!! Sûre i say!!
544321396328136704,544319832486064128,Mon Dec 15 02:41:48 +0000 2014,@AP @SenFeinstein is headed there to beg the hostage takers to surrender.
544340179549696000,544338972768759809,Mon Dec 15 03:56:26 +0000 2014,@Alain_Verse @bloghommelibre @AP suffise pour tenir en joug autant de monde ! ou alors tous les otages sont des fiottes !
544319992096112641,544319832486064128,Mon Dec 15 02:36:13 +0000 2014,@AP Its about chocolate!
544320880113762304,544319832486064128,Mon Dec 15 02:39:45 +0000 2014,@AP *checks watch* Need a few more hours for your lawyers to check your facts? lol
544321159018590208,544320016582459393,Mon Dec 15 02:40:51 +0000 2014,"@zclove2bme It's Monday in Australia, this is from a few hours ago. @AP"
544340222902018049,544338972768759809,Mon Dec 15 03:56:37 +0000 2014,@Alain_Verse @bloghommelibre @AP Il n'y a pas d'hommes ! Lol
544320115647741952,544319832486064128,Mon Dec 15 02:36:43 +0000 2014,"RT @AP: Hostage situation erupts in Sydney cafe, Australian prime minister says it may be “politically motivated” http://t.co/SEq809etUl"
544320267107856384,544319832486064128,Mon Dec 15 02:37:19 +0000 2014,"@AP Actually, he said ""We don't know if it's politically motivated"". Check your facts, guys. #sydneysiege"
544320667018362880,544319832486064128,Mon Dec 15 02:38:54 +0000 2014,@AP Politically Motivated? Really? Why's that then?
544320606058340352,544319832486064128,Mon Dec 15 02:38:40 +0000 2014,"RT“@AP: Hostage situation erupts in Sydney cafe, Australian prime minister says it may be ""politically motivated"" http://t.co/qVYWG3qj8t”"
544320586689048576,544319832486064128,Mon Dec 15 02:38:35 +0000 2014,"@AP He's a moron, Islamic terrorism, stop pussy footing around it. #realproblemwithliberlism"
544324177226764288,544323563021664257,Mon Dec 15 02:52:51 +0000 2014,@bloghommelibre @AP Il n'est pas tout seul !
544320300402638848,544319992096112641,Mon Dec 15 02:37:27 +0000 2014,@YouSuckAtGolf @AP 👏 perfect first comment
